City,LAT,LON,Weather,Desription,Temp,Temp Feels,Temp Min,Temp Max,Pressure,Humidity,Visibility,Clouds,Wind Speed,country
São Raimundo das Mangabeiras,-7.0219,-45.4811,Clouds,broken clouds,295.78,296.37,295.78,295.78,1011,87,10000,67,0.44,BR
Pangnirtung,66.1451,-65.7125,Snow,light snow,274.63,271.37,274.63,274.63,1026,83,10000,100,3.07,CA
Kavos,38.8268,22.8322,Clouds,few clouds,285.72,285.64,283.15,288.15,1013,100,10000,20,0.56,GR
Dikson,73.5069,80.5464,Clouds,overcast clouds,265.0,258.72,265.0,265.0,1007,87,10000,96,4.15,RU
Bol,13.4586,14.7147,Clouds,broken clouds,299.51,299.51,299.51,299.51,1007,36,10000,57,6.63,TD
Chui,-33.6971,-53.4616,Clear,clear sky,284.88,284.43,284.88,284.88,1023,89,10000,1,2.31,UY
Pevek,69.7008,170.3133,Clouds,overcast clouds,269.52,266.45,269.52,269.52,1020,83,9228,99,2.01,RU
Codrington,-38.2667,141.9667,Clear,clear sky,293.06,292.46,293.06,293.06,1022,52,10000,7,3.7,AU
Luganville,-15.5333,167.1667,Clouds,broken clouds,299.7,299.7,299.7,299.7,1011,68,10000,83,5.44,VU
Kiunga,-6.1219,141.2906,Clouds,overcast clouds,304.22,306.72,304.22,304.22,1008,54,10000,100,1.49,PG
Avarua,-21.2078,-159.775,Clouds,overcast clouds,300.15,303.18,300.15,300.15,1014,83,10000,97,3.09,CK
Ushuaia,-54.8,-68.3,Rain,light rain,275.15,268.68,275.15,275.15,997,80,10000,40,10.29,AR
Albany,42.6001,-73.9662,Clouds,overcast clouds,286.42,286.13,285.93,287.04,1006,89,10000,88,1.14,US
Znamenskoye,57.1281,73.8282,Clouds,overcast clouds,285.48,284.23,285.48,285.48,1006,56,10000,100,4.7,RU
Bredasdorp,-34.5322,20.0403,Clouds,few clouds,285.15,284.68,285.15,285.15,1017,87,10000,17,2.06,ZA
Taoudenni,22.6783,-3.9836,Clouds,scattered clouds,304.33,302.31,304.33,304.33,1007,18,10000,29,4.62,ML
Nikolskoye,59.7035,30.7861,Clear,clear sky,276.88,275.04,276.48,277.15,1015,60,10000,0,2.0,RU
Lata,40.1629,-8.3327,Clouds,overcast clouds,285.69,284.98,283.71,287.59,1011,76,10000,98,0.89,PT
Padang,-0.9492,100.3543,Clouds,overcast clouds,301.75,306.24,301.75,301.75,1012,77,10000,100,2.23,ID
Sur,22.5667,59.5289,Clouds,overcast clouds,306.72,305.71,306.72,306.72,1010,29,10000,96,2.95,OM
Kapaa,22.0752,-159.319,Rain,light rain,294.37,294.71,293.71,296.15,1017,83,10000,90,5.66,US
East London,-33.0153,27.9116,Clouds,broken clouds,290.15,290.2,290.15,290.15,1013,88,10000,75,5.14,ZA
Saint Paul Harbor,57.79,-152.4072,Clouds,overcast clouds,280.15,278.0,280.15,280.15,1005,87,10000,90,3.09,US
Kaputa,-8.4689,29.6619,Clouds,scattered clouds,293.06,293.4,293.06,293.06,1014,88,10000,32,0.91,ZM
Souillac,-20.5167,57.5167,Rain,light rain,299.15,299.15,299.15,299.15,1018,89,10000,75,6.17,MU
Boguchany,58.3814,97.4531,Clouds,overcast clouds,279.28,277.21,279.28,279.28,1014,56,10000,100,2.73,RU
Barrow,71.2906,-156.7887,Clouds,overcast clouds,266.15,259.75,266.15,266.15,1007,86,10000,90,4.63,US
Turukhansk,65.8167,87.9833,Clouds,overcast clouds,273.3,270.78,273.3,273.3,1011,98,3979,100,2.07,RU
Aragarças,-15.8975,-52.2508,Clouds,overcast clouds,294.92,294.8,294.92,294.92,1013,63,10000,100,1.32,BR
Kurikka,62.6167,22.4167,Clear,clear sky,271.11,268.86,269.15,272.04,1013,93,10000,0,1.63,FI
Kavieng,-2.5744,150.7967,Rain,light rain,302.33,305.52,302.33,302.33,1008,66,10000,94,5.02,PG
Mataura,-46.1927,168.8643,Rain,light rain,285.93,285.72,285.93,285.93,1018,94,10000,96,5.81,NZ
Kaeo,-35.1,173.7833,Clouds,broken clouds,291.48,291.09,291.48,291.48,1022,66,10000,63,1.34,NZ
Hilo,19.7297,-155.09,Rain,light rain,295.85,295.66,292.59,300.15,1016,57,10000,75,2.06,US
Cayenne,4.9333,-52.3333,Clouds,overcast clouds,298.48,299.52,298.15,298.71,1011,94,10000,90,2.57,GF
Jamestown,42.097,-79.2353,Clouds,overcast clouds,290.15,290.36,290.15,290.15,1011,94,10000,90,3.09,US
Butaritari,3.0707,172.7902,Rain,light rain,301.4,304.76,301.4,301.4,1008,73,10000,94,4.47,KI
Tottori-shi,35.5,134.2333,Clouds,broken clouds,287.15,287.06,287.15,287.15,1007,94,10000,75,2.06,JP
Dezful,32.3811,48.4058,Clear,clear sky,302.25,300.59,302.25,302.25,1010,14,10000,0,0.73,IR
Vaitape,-16.5167,-151.75,Rain,light rain,300.83,303.69,300.83,300.83,1014,74,10000,78,4.62,PF
Norman Wells,65.282,-126.8329,Clouds,few clouds,271.15,264.34,271.15,271.15,1018,43,10000,20,7.72,CA
Rio Grande,-32.035,-52.0986,Clear,clear sky,287.47,287.02,287.47,287.47,1023,79,10000,1,2.88,BR
Balabac,7.9868,117.0645,Clouds,overcast clouds,302.63,306.54,302.63,302.63,1011,68,10000,99,4.76,PH
Kaa-Khem,51.6833,94.7333,Clouds,broken clouds,285.4,283.67,285.4,285.4,1015,38,10000,51,7.61,RU
Ancud,-41.8697,-73.8203,Clouds,overcast clouds,286.32,286.3,284.26,288.15,1015,100,4800,90,4.63,CL
Cape Town,-33.9258,18.4232,Clouds,few clouds,286.26,285.9,284.82,287.59,1019,87,10000,20,3.6,ZA
Upernavik,72.7868,-56.1549,Clouds,few clouds,264.22,258.7,264.22,264.22,1037,94,10000,18,3.2,GL
Bluff,-46.6,168.3333,Clouds,overcast clouds,285.93,285.72,285.93,285.93,1018,94,10000,96,5.81,NZ
Clyde River,70.4692,-68.5914,Clouds,overcast clouds,268.15,263.55,268.15,268.15,1031,100,10000,90,3.09,CA
Olafsvik,64.8945,-23.7142,Clouds,few clouds,277.96,277.96,277.96,277.96,1027,75,10000,18,0.47,IS
Hobart,-42.8794,147.3294,Clouds,scattered clouds,292.6,291.72,292.04,294.15,1019,43,10000,40,5.14,AU
Fort Nelson,58.8053,-122.7002,Clouds,broken clouds,275.15,273.62,275.15,275.15,1018,51,10000,75,1.54,CA
Maltahöhe,-24.8333,16.9833,Rain,light rain,288.78,287.7,288.78,288.78,1014,50,10000,15,1.38,NA
Bereda,43.2686,-7.5406,Clouds,scattered clouds,277.04,277.04,277.04,277.04,1009,100,10000,27,0.45,ES
Muravlenko,63.7898,74.523,Clouds,overcast clouds,276.14,271.56,276.14,276.14,1004,89,8570,100,5.86,RU
Provideniya,64.3833,-173.3,Clear,clear sky,274.15,270.09,274.15,274.15,1018,60,10000,0,4.0,RU
Ixtapa,20.7,-105.2,Clouds,overcast clouds,297.87,298.43,297.59,298.15,1012,78,10000,90,0.71,MX
Kuching,1.55,110.3333,Clouds,few clouds,304.15,310.75,304.15,304.15,1010,70,10000,20,1.54,MY
Cherskiy,68.75,161.3,Clouds,overcast clouds,271.22,265.8,271.22,271.22,1022,89,3022,100,5.03,RU
Khuzdar,27.7384,66.6434,Clear,clear sky,302.52,300.81,302.52,302.52,1012,9,10000,9,5.06,PK
Mahébourg,-20.4081,57.7,Rain,moderate rain,299.15,299.15,299.15,299.15,1018,89,10000,75,6.17,MU
Fairbanks,64.8378,-147.7164,Clear,clear sky,282.81,282.81,280.37,285.15,1002,24,10000,1,0.59,US
College,64.8569,-147.8028,Clouds,few clouds,282.92,282.03,280.37,285.15,1002,25,10000,20,2.06,US
Iqaluit,63.7506,-68.5145,Snow,snow,271.04,268.92,270.93,271.15,1021,93,3219,90,1.54,CA
Yeppoon,-23.1333,150.7333,Clouds,broken clouds,297.15,297.17,297.15,297.15,1017,60,10000,75,4.63,AU
Arraial do Cabo,-22.9661,-42.0278,Clouds,overcast clouds,294.77,295.05,294.77,294.77,1017,79,10000,98,2.66,BR
Airai,-8.9266,125.4092,Clouds,broken clouds,297.93,297.59,297.93,297.93,1011,43,10000,61,1.13,TL
Severo-Kuril'sk,50.6789,156.125,Clouds,overcast clouds,276.31,274.05,276.31,276.31,1014,83,10000,93,2.31,RU
Anadyr,64.75,177.4833,Clear,clear sky,271.03,267.1,270.93,271.15,1021,80,10000,0,3.0,RU
Puerto Ayora,-0.7393,-90.3518,Clouds,scattered clouds,296.93,297.71,296.93,296.93,1014,90,10000,35,2.22,EC
Rikitea,-23.1203,-134.9692,Clouds,broken clouds,297.5,297.79,297.5,297.5,1013,69,10000,74,4.38,PF
Margate,51.3813,1.3862,Clouds,overcast clouds,279.49,277.18,279.26,279.82,990,74,10000,98,3.13,GB
Malatya Province,38.5,38.0,Clear,clear sky,293.15,292.3,293.15,293.15,1020,42,10000,0,1.03,TR
Hongjiang,27.11,109.9956,Clouds,broken clouds,300.39,300.8,300.39,300.39,1016,50,10000,62,1.03,CN
Port-Gentil,-0.7193,8.7815,Clouds,overcast clouds,300.38,303.52,300.38,300.38,1009,81,10000,100,3.01,GA
Tessalit,20.1986,1.0114,Clouds,overcast clouds,302.9,301.09,302.9,302.9,1007,11,10000,96,1.72,ML
Leningradskiy,69.3833,178.4167,Clouds,overcast clouds,270.74,270.74,270.74,270.74,1019,74,10000,100,0.49,RU
Shitanjing,39.2342,106.3439,Clouds,scattered clouds,288.81,287.06,288.81,288.81,1008,24,10000,43,10.77,CN
San Felipe,10.3399,-68.7425,Rain,light rain,294.66,295.43,294.66,294.66,1013,98,4730,100,1.26,VE
Hue,16.4667,107.6,Clouds,scattered clouds,304.15,309.58,304.15,304.15,1014,66,10000,40,3.6,VN
Lavrentiya,65.5833,-171.0,Clear,clear sky,268.9,265.02,268.9,268.9,1017,80,10000,7,2.56,RU
Port Elizabeth,-33.918,25.5701,Rain,light rain,289.15,288.95,289.15,289.15,1014,82,10000,0,10.29,ZA
Hamilton,39.1834,-84.5333,Clouds,overcast clouds,292.25,292.83,292.04,292.59,1013,100,10000,90,2.06,US
Coquimbo,-29.9533,-71.3436,Clouds,overcast clouds,286.15,285.96,286.15,286.15,1017,94,10000,90,2.06,CL
